t_rel,%time,field.positions0.phi,field.positions1.x,field.positions1.y
167.463956480,1696902368518739941,2.3759148120880127,0.14338944852352142,0.36791688203811646
167.515832832,1696902368570616441,2.3752291202545166,0.14342181384563446,0.36790502071380615
167.584803584,1696902368639587112,2.382842779159546,0.14380085468292236,0.3680681884288788
167.631045120,1696902368685828495,2.2868664264678955,0.144913911819458,0.3680666387081146
167.684489984,1696902368739273447,2.2855300903320312,0.1454114466905594,0.3680550158023834
167.746933504,1696902368801717079,2.2659056186676025,0.14578106999397278,0.3684866726398468
167.789480960,1696902368844264356,2.185717821121216,0.14581763744354248,0.368706077337265
167.833746688,1696902368888530080,2.1837546825408936,0.14602796733379364,0.3685605823993683
167.886586112,1696902368941369509,2.0990421772003174,0.146445631980896,0.36843249201774597
167.952383488,1696902369007166879,2.087566614151001,0.14639362692832947,0.3681732416152954
167.994121984,1696902369048905551,2.026449680328369,0.14648672938346863,0.3672928512096405
168.049042944,1696902369103826426,1.9300403594970703,0.14654627442359924,0.3668672442436218
168.112151808,1696902369166935189,1.9146111011505127,0.14684312045574188,0.3666185140609741
168.159311104,1696902369214094683,1.891678810119629,0.14692795276641846,0.36644837260246277
168.201497088,1696902369256280572,1.916748046875,0.14687228202819824,0.36671507358551025
168.247646976,1696902369302430557,1.919862151145935,0.14718233048915863,0.3667725920677185
168.312321280,1696902369367104752,1.928916335105896,0.14747637510299683,0.36704444885253906
168.355043584,1696902369409827193,1.9430817365646362,0.14761225879192352,0.3667783737182617
168.414554624,1696902369469338067,1.9000705480575562,0.14787563681602478,0.366730660200119
168.461138432,1696902369515921900,1.9459861516952515,0.14807723462581635,0.3673226535320282
168.516140544,1696902369570924132,1.978603720664978,0.14810438454151154,0.3671395480632782
168.586138112,1696902369640921643,2.004472017288208,0.14807182550430298,0.36700040102005005
168.629483520,1696902369684267105,2.0508038997650146,0.14839299023151398,0.3663427531719208
168.673517568,1696902369728301165,2.087629556655884,0.1487588733434677,0.36597806215286255
168.717487360,1696902369772270828,2.1407344341278076,0.14909829199314117,0.36591994762420654
168.790400256,1696902369845183748,2.0929534435272217,0.1493312120437622,0.36616629362106323
168.837495296,1696902369892278735,2.083173990249634,0.14961501955986023,0.36623743176460266
168.886213632,1696902369940997172,2.09993052482605,0.1500416249036789,0.36599844694137573
168.954246400,1696902370009029862,2.1199023723602295,0.1508105993270874,0.36601126194000244
169.001468160,1696902370056251605,2.156996965408325,0.15138983726501465,0.3657975494861603
169.045485824,1696902370100269226,2.1674492359161377,0.15215277671813965,0.3654748201370239
169.090268416,1696902370145051875,2.106776475906372,0.15284354984760284,0.3652644753456116
169.133498880,1696902370188282431,1.944604754447937,0.1536889672279358,0.3648671805858612
169.182859008,1696902370237642518,1.9109638929367065,0.15446297824382782,0.3646842837333679
169.249804288,1696902370304587741,1.9019144773483276,0.1547086238861084,0.364459753036499
169.299513600,1696902370354297178,1.9483088254928589,0.15456034243106842,0.3645484447479248
169.354274304,1696902370409057727,1.9456313848495483,0.1554568111896515,0.36443084478378296
169.413839872,1696902370468623410,1.9107364416122437,0.1556074619293213,0.3642132878303528
169.461471488,1696902370516255050,1.9123371839523315,0.15492329001426697,0.36407747864723206
169.514390016,1696902370569173587,1.9401572942733765,0.1549975574016571,0.3643845319747925
169.560587264,1696902370615370732,1.9547687768936157,0.15510280430316925,0.3637906312942505
169.621763840,1696902370676547274,1.9617317914962769,0.155110165476799,0.36374789476394653
169.688493824,1696902370743277414,2.0466930866241455,0.15515489876270294,0.363538533449173
169.750566912,1696902370805350408,2.068298101425171,0.1553720384836197,0.3633689284324646
169.793671936,1696902370848455468,2.0365164279937744,0.15566062927246094,0.36286965012550354
169.854589440,1696902370909373039,2.08125376701355,0.15590833127498627,0.3639563322067261
169.897468416,1696902370952251975,2.0906693935394287,0.15659533441066742,0.3633987605571747
169.950151936,1696902371004935380,2.0847713947296143,0.1571292132139206,0.3631933629512787
170.016279296,1696902371071062719,2.0634920597076416,0.15799838304519653,0.3624568283557892
170.057472256,1696902371112255768,2.0887224674224854,0.1584269106388092,0.3621780276298523
170.115419392,1696902371170202899,2.063269853591919,0.15888790786266327,0.361920565366745
170.165489664,1696902371220273165,2.0691120624542236,0.15922366082668304,0.3617396950721741
170.213839360,1696902371268622732,2.0663321018218994,0.15943798422813416,0.3616916239261627
170.279860224,1696902371334643735,1.9985159635543823,0.15956656634807587,0.3620128333568573
170.321846272,1696902371376629820,1.9653891324996948,0.15961001813411713,0.3623116910457611
170.365483776,1696902371420267303,1.963809847831726,0.15972445905208588,0.3623194396495819
170.414197248,1696902371468980750,1.9067248106002808,0.15975308418273926,0.36236071586608887
170.478752512,1696902371533536067,1.847873568534851,0.1593906432390213,0.3631904423236847
170.521475584,1696902371576259069,1.812682032585144,0.15939271450042725,0.36338818073272705
170.584400384,1696902371639183977,1.7943214178085327,0.16061851382255554,0.3636588752269745
170.629487616,1696902371684271226,1.6986202001571655,0.16127847135066986,0.36396628618240356
170.679526400,1696902371734309942,1.712157130241394,0.1614815592765808,0.36397984623908997
170.721470464,1696902371776254068,1.6834238767623901,0.16204608976840973,0.36391258239746094
170.779346432,1696902371834129942,1.6913241147994995,0.16249914467334747,0.3638017177581787
170.821466880,1696902371876250391,1.6964422464370728,0.16281022131443024,0.3637434244155884
170.879538432,1696902371934321849,1.7153178453445435,0.1630352884531021,0.3638368248939514
170.932430080,1696902371987213577,1.740559458732605,0.16306282579898834,0.36343705654144287
170.986972416,1696902372041755984,1.7557495832443237,0.16332441568374634,0.3633732199668884
171.045383936,1696902372100167331,1.8084644079208374,0.16337443888187408,0.3634379208087921
171.097786624,1696902372152570074,1.7957934141159058,0.16378115117549896,0.36356136202812195
171.141475072,1696902372196258587,1.8310335874557495,0.16372843086719513,0.3635525703430176
171.186514944,1696902372241298396,1.8155397176742554,0.16426081955432892,0.36349809169769287
171.253539072,1696902372308322519,1.8657773733139038,0.16484832763671875,0.3633290231227875
171.301462272,1696902372356245679,1.8038781881332397,0.16551822423934937,0.3632042407989502
171.349907968,1696902372404691504,1.7702854871749878,0.1657681167125702,0.36305323243141174
171.416781824,1696902372471565391,1.8500490188598633,0.16605304181575775,0.3632012605667114
171.457472512,1696902372512256054,1.811099886894226,0.1666618436574936,0.36346060037612915
171.517129216,1696902372571912814,1.814144492149353,0.16704431176185608,0.36349257826805115
171.561487616,1696902372616271206,1.8182581663131714,0.1668211817741394,0.36343806982040405
171.617296896,1696902372672080393,1.793585181236267,0.16710758209228516,0.3635384440422058
171.666789632,1696902372721573216,1.7991217374801636,0.16788867115974426,0.3636728823184967
171.721312512,1696902372776095983,1.7878779172897339,0.16873134672641754,0.3633500337600708
171.782630144,1696902372837413741,1.68161940574646,0.16898585855960846,0.36287739872932434
171.825480704,1696902372880264248,1.6855329275131226,0.1688566356897354,0.3627933859825134
171.889668864,1696902372944452458,1.7053369283676147,0.16907787322998047,0.3626782298088074
171.934246144,1696902372989029532,1.7698744535446167,0.16932342946529388,0.3628690540790558
171.977482240,1696902373032265758,1.7665156126022339,0.16964741051197052,0.3628014922142029
172.021730560,1696902373076514022,1.776394248008728,0.1695786714553833,0.36271965503692627
172.084586752,1696902373139370193,1.734906554222107,0.1695636510848999,0.36266598105430603
172.146896640,1696902373201680109,1.7565397024154663,0.16989178955554962,0.36317873001098633
172.189470464,1696902373244253876,1.7302287817001343,0.17037151753902435,0.3633233606815338
