%time,field.positions0.phi,field.positions1.x,field.positions1.y
1719990003013467379,1.1815861463546753,0.447451114654541,0.4839323759078979
1719990003044101528,1.2027257680892944,0.4474510848522186,0.4839359819889068
1719990003074703487,1.1917437314987185,0.4474482834339142,0.4839278757572174
1719990003105183655,1.1938031911849976,0.4474511742591858,0.4839309751987457
1719990003137769095,1.1998785734176636,0.4474460482597351,0.483926922082901
1719990003167490848,1.2012017965316772,0.4474528729915619,0.4839312434196472
1719990003227947021,1.1988447904586792,0.4474496245384216,0.4839267134666443
1719990003259637776,1.1970733404159546,0.447449117898941,0.4839265942573547
1719990003290298195,1.2118839025497437,0.4474457502365112,0.4839248657226562
1719990003321014784,1.2112191915512085,0.4474480152130127,0.4839261174201965
1719990003351892805,1.1993716955184937,0.4474488198757171,0.483924925327301
1719990003383039156,1.1992162466049194,0.4474466741085052,0.4839245080947876
1719990003413624985,1.2054451704025269,0.4474460780620575,0.4839222431182861
1719990003444258444,1.207628607749939,0.4474470019340515,0.4839237332344055
1719990003474854482,1.2168220281600952,0.4474467933177948,0.4839226007461548
1719990003505561781,1.2050784826278689,0.4474466443061828,0.4839223623275757
1719990003536237560,1.2098382711410522,0.4474449455738067,0.4839240610599518
1719990003570004488,1.204323172569275,0.4474472403526306,0.4839231371879577
1719990003603452733,1.2244914770126345,0.4474467933177948,0.4839212000370025
1719990003659944742,1.21920907497406,0.4474427103996277,0.4839144051074981
1719990003690743422,1.225098967552185,0.4474420845508575,0.483911395072937
1719990003721722463,1.2145103216171265,0.4474432170391083,0.4839107096195221
1719990003752585093,1.2234324216842651,0.447443425655365,0.4839160442352295
1719990003784425559,1.2167543172836304,0.4474444687366485,0.4839143753051758
1719990003814965088,1.2214330434799194,0.4474424123764038,0.4839116930961609
1719990003845563626,1.2323778867721558,0.4474432468414306,0.4839112460613251
1719990003876041274,1.2156728506088257,0.4474405944347381,0.4839061200618744
1719990003906778803,1.2328499555587769,0.4474378824234009,0.4839066565036773
1719990003937414152,1.2227128744125366,0.4474381506443023,0.483907550573349
1719990003971623151,1.2264355421066284,0.4474428594112396,0.4839092195034027
1719990004004189932,1.211469054222107,0.447439581155777,0.483908474445343
1719990004061124184,1.2138770818710327,0.4474402070045471,0.4839082956314087
1719990004092499557,1.2198604345321655,0.4474379122257232,0.4839076399803161
1719990004123247557,1.2346519231796265,0.4474407136440277,0.4839009940624237
1719990004154319728,1.2265599966049194,0.4474412500858307,0.4839090704917907
1719990004185311339,1.2164119482040403,0.4474374949932098,0.483907550573349
1719990004217591347,1.2338231801986694,0.4474393725395202,0.4839058816432953
