Snapshot_Index,Time_s,Queen_X,Queen_Y,Queen_Psi_deg,Agent1_X,Agent1_Y,Agent1_Psi_deg,Agent2_X,Agent2_Y,Agent2_Psi_deg,Agent3_X,Agent3_Y,Agent3_Psi_deg,Agent4_X,Agent4_Y,Agent4_Psi_deg,Agent5_X,Agent5_Y,Agent5_Psi_deg,Agent6_X,Agent6_Y,Agent6_Psi_deg
680,36.956394752,23.3925014734268,35.2795988321304,-173.378997212464,28.9913096574473,35.3647888495487,0,26.107880260378,40.1213593311491,60.0000012560617,20.5744074022673,40.0100812532862,120.009062435873,17.7544740320303,35.2011770185253,-170.921471589908,20.6472608300183,30.4213231576596,-120,26.139366623516,30.7650444295365,-60
800,43.38461568,22.7297455072403,32.6628983020782,-111.808612109221,28.3624741192394,32.8038418102665,0,25.3446349334245,37.4814945495628,60.0000000000001,19.9233055776352,37.3158012550407,120,17.1044402448678,32.4939710253432,-179.999724519076,19.9106904010309,27.6438602995851,-117.560417342303,25.6199148916742,27.8172417379499,-60
1850,103.74633216,37.9415929317474,30.1763355731964,121.652239759909,43.3513158389819,30.4651421633834,-5.6843418860808e-14,40.4599507278157,35.0276592179998,60.0016150207459,34.9546468244775,34.9228246597952,120.491841338924,32.867238041608,29.9465090058293,180,35.348102233021,25.0855033709592,-120,40.9250261687149,25.4256164986695,-60
